name,final,cagr,maxdd,calmar,trades,exits,profit_exits,sector_exits,stop_exits,sma_exits
"CURRENT: TQQQ-only, no sector leadership filter",585.242389607237,0.5429985648960145,-0.3638415388356657,1.4924039916763534,165,82,49,0,3,29
Sector exit xlk_5d_under_qqq_by_2pct; re-entry xlk_above_sma50,472.91163903601506,0.520776824733626,-0.3638415388356655,1.4313286668701197,157,78,45,6,2,24
Sector exit xlk_5d_under_qqq_by_2pct; re-entry no sector re-entry filter,376.3518637629053,0.4973183639074845,-0.3638415388356655,1.3668542780985373,169,84,45,7,3,28
Sector exit xlk_5d_under_qqq_by_2pct; re-entry xlk_ratio_above_sma20,90.50001959293562,0.35888939333065983,-0.35100751811263264,1.0224550039851228,131,65,34,5,2,24
Sector exit xlk_20d_drawdown_5pct; re-entry no sector re-entry filter,75.81890432029957,0.3426155828335875,-0.4361562646892645,0.7855340174413884,219,109,38,50,0,21
Sector exit xlk_20d_drawdown_5pct; re-entry xlk_above_sma50,72.04508296639752,0.3379577910835696,-0.4919707256996435,0.6869469532012329,175,87,40,30,0,17
Sector exit xlk_5d_under_qqq_by_2pct; re-entry xlk_above_sma20,61.076552598728306,0.32300030825410575,-0.3638415388356656,0.8877499509477218,129,64,32,7,4,21
Sector exit xlk_5d_under_qqq_by_2pct; re-entry qqq_above_sma20,60.93033257727174,0.32278447578390757,-0.3638415388356655,0.8871567463595684,133,66,33,7,4,22
Sector exit xlk_20d_drawdown_5pct; re-entry xlk_ratio_above_sma20,60.0284106420347,0.32144239713876366,-0.3934390765378719,0.8170067903964848,163,81,32,32,0,17
Sector exit xlk_20d_drawdown_5pct; re-entry xlk_above_sma20,51.53825358323893,0.30779695792140394,-0.4361562646892647,0.7057033977046985,155,77,36,24,0,17
Sector exit xlk_ratio_below_sma50; re-entry xlk_ratio_above_sma20,47.40216229229389,0.30037115318388974,-0.28497642915954824,1.054021043318367,241,120,12,94,0,14
Sector exit xlk_20d_drawdown_5pct; re-entry qqq_above_sma20,34.23341311097333,0.2718799772456464,-0.4506648830482616,0.603286360824637,159,79,36,25,0,18
Sector exit xlk_below_sma50; re-entry no sector re-entry filter,29.76736782167808,0.25983529352094936,-0.4674037343229712,0.5559118903859801,275,137,32,90,0,15
Sector exit qqq_below_sma50; re-entry no sector re-entry filter,29.03474755340805,0.25770016755847713,-0.5145731842660974,0.500803725180546,275,137,32,89,0,16
Sector exit qqq_below_sma50; re-entry xlk_above_sma50,26.75202152410926,0.2507097665865812,-0.5406360456758533,0.46373113408146316,201,100,32,54,0,13
