name,final_multiple,cagr,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits
current + QQQ ADX>=20,156.43789153173566,0.3814662853407833,-0.6669982737042346,357,178,0.6123595505617978,109,46,19,4
current + QQQ ADX>=18,151.6278610479468,0.37870980808510013,-0.6669982737042347,365,182,0.6043956043956044,110,46,22,4
p8% h7.5% tr12% ADX18,151.6278610479468,0.37870980808510013,-0.6669982737042347,365,182,0.6043956043956044,110,46,22,4
current + QQQ ADX>=22,136.70628250376302,0.36960543861083517,-0.6632863278808692,339,169,0.6153846153846154,104,45,18,2
current + dist SMA200 > 5%,133.10727487704443,0.3672704873111807,-0.6692598300071958,375,187,0.6042780748663101,113,51,23,0
current,129.32958062596433,0.3647551589228366,-0.6632863278808692,393,196,0.5918367346938775,116,52,24,4
current + QQQ ADX>=15,126.03445933541269,0.3625043418558349,-0.6632863278808692,373,186,0.5967741935483871,111,50,21,4
current + QQQ ADX>=12,113.16383562739365,0.3531500264460741,-0.6632863278808692,389,194,0.5876288659793815,114,52,24,4
p8% h7.5% tr15% ADX18,111.21216548147969,0.35164531440028357,-0.6920138530609132,353,176,0.6193181818181818,109,59,4,4
p10% h7.5% tr15% ADX18,99.76902506144363,0.3422914384499711,-0.7153072516942843,315,157,0.5796178343949044,91,55,7,4
p12% h7.5% tr15% ADX18,95.98719452804514,0.33897815295236033,-0.6919832796373264,295,147,0.54421768707483,80,54,9,4
p10% h7.5% tr12% ADX18,92.24595579428708,0.33557794052847156,-0.7274473134669819,337,168,0.5416666666666666,91,46,27,4
current + SMA200 slope20 > 0,68.26690502644118,0.3101103455325962,-0.743864987930696,389,194,0.5773195876288659,112,56,23,3
p12% h7.5% tr12% ADX18,64.6912516405994,0.3056103284697287,-0.7274473134669819,311,155,0.4838709677419355,75,41,35,4
current + QQQ ADX>=25,57.76482256684566,0.29618833704875125,-0.7221747782615731,291,145,0.6068965517241379,88,38,16,3
p8% h7.5% tr10% ADX18,44.42848800515659,0.2746092252582255,-0.6922044832626564,397,198,0.5454545454545454,106,46,44,2
current + QQQ above EMA21,41.80355808997872,0.26965446265377024,-0.6551023717839443,273,136,0.6102941176470589,83,39,12,2
p12% h7.5% tr10% ADX18,39.60850731566518,0.265282204297558,-0.7307816252955472,347,173,0.4393063583815029,74,41,56,2
p10% h7.5% tr10% ADX18,34.685826760835035,0.2545882971309099,-0.727281127068661,371,185,0.4864864864864865,88,44,51,2
p10% h5.0% tr15% ADX18,28.553568311794464,0.23907479741506488,-0.7552601983045376,379,189,0.4708994708994709,89,100,0,0
p10% h5.0% tr12% ADX18,28.18752658309551,0.23805276346670023,-0.7655277292084297,391,195,0.46153846153846156,90,96,9,0
ADX20+SMA50slope,26.217238896288553,0.23232844302464284,-0.7044437313003404,298,149,0.6040268456375839,90,40,18,1
ADX15+SMA50slope,25.293548822917224,0.22950479118970746,-0.6899249196543467,320,160,0.5875,94,44,20,2
p12% h5.0% tr15% ADX18,24.30180022742073,0.22636354880730458,-0.7467416550527939,351,175,0.44,77,97,1,0
current + SMA50 slope10 > 0,23.957837206681525,0.22524600541988526,-0.6899249196543467,338,169,0.5798816568047337,98,47,22,2
current + trend efficiency ER20 >= .20,22.746582437697917,0.22118731462924357,-0.7041650584514836,258,129,0.6046511627906976,78,33,14,4
ADX18+SMA50slope,22.31219838708267,0.2196823354715327,-0.7044437313003403,304,152,0.5921052631578947,90,40,21,1
p12% h5.0% tr12% ADX18,21.089112492030907,0.21529257118599632,-0.7534706274060817,365,182,0.4175824175824176,76,91,15,0
ADX20+SMA20>SMA50,21.00291172982138,0.21497426584635204,-0.6490654327723349,276,138,0.6014492753623188,83,35,18,2
current + SMA50 slope10 > 1%,18.961887053597536,0.2070564609890544,-0.663551933149749,288,144,0.5972222222222222,86,39,18,1
p8% h5.0% tr12% ADX18,17.49295640672145,0.20084780517092748,-0.7354138579269897,433,216,0.4861111111111111,105,106,5,0
p8% h5.0% tr15% ADX18,17.379876683937166,0.20034983309299004,-0.7354138579269897,427,213,0.49295774647887325,105,108,0,0
p10% h7.5% tr15% SMA20>SMA50,16.109190913331467,0.19453542407258206,-0.7032038892801851,264,132,0.5606060606060606,74,49,7,2
ADX15+SMA20>SMA50,13.845485518006862,0.18302238890553135,-0.6763102714652147,294,147,0.5782312925170068,85,41,19,2
ADX18+SMA20>SMA50,13.744991227770639,0.18247134784409091,-0.6467376024487673,282,141,0.5815602836879432,82,37,20,2
p12% h5.0% tr10% ADX18,13.013247563646383,0.17834135883716762,-0.7724299142962309,387,193,0.38860103626943004,73,85,35,0
p12% h7.5% tr15% SMA20>SMA50,11.812682386358219,0.17106934441877564,-0.7032038892801852,244,122,0.5163934426229508,63,49,8,2
current + SMA20>SMA50,10.994735210646475,0.16570730570441405,-0.6763102714652149,312,156,0.5641025641025641,88,45,21,2
p8% h7.5% tr12% SMA20>SMA50,10.994735210646475,0.16570730570441405,-0.6763102714652149,312,156,0.5641025641025641,88,45,21,2
p8% h7.5% tr15% SMA20>SMA50,10.904361875639184,0.1650921295057277,-0.680504937787368,298,149,0.5906040268456376,88,56,3,2
ADX15+EMA21slope,10.429974229408344,0.16178252125910975,-0.6830711456015175,261,130,0.5615384615384615,73,45,10,2
ADX20+EMA21slope,10.097568708310686,0.15937842204136232,-0.6701308765845111,247,123,0.5691056910569106,70,43,8,2
current + QQQ EMA21 slope5 > 0,10.095944176193804,0.15936649184846896,-0.7096871787493093,281,140,0.5571428571428572,78,46,14,2
ADX18+EMA21slope,9.807769787229747,0.1572212399223416,-0.6701308765845111,253,126,0.5634920634920635,71,43,10,2
p10% h7.5% tr12% SMA20>SMA50,9.46060585788053,0.1545570784112993,-0.7472464392249911,284,142,0.5,71,41,28,2
p10% h5.0% tr10% ADX18,8.74081721533581,0.1487286542974977,-0.7799727852991283,409,204,0.4215686274509804,84,89,31,0
p12% h7.5% tr12% SMA20>SMA50,8.210859811455272,0.1441427285161414,-0.7469772445245304,262,131,0.46564885496183206,61,41,27,2
p8% h5.0% tr10% ADX18,6.7576806260226245,0.12997840740306144,-0.7553859161681498,447,223,0.4618834080717489,101,100,22,0
ADX20+SMA20>SMA50+EMA21slope,6.167593679123046,0.12339443314561405,-0.6606003920804485,198,99,0.5959595959595959,59,31,7,2
current + trend efficiency ER20 >= .30,5.824947220676306,0.11929522454714947,-0.6306712297383439,142,71,0.647887323943662,46,21,4,0
ADX18+SMA20>SMA50+EMA21slope,4.773448678188626,0.10513433749722001,-0.6990076153377074,204,102,0.5784313725490197,59,32,9,2
ADX15+SMA20>SMA50+EMA21slope,4.686332581531242,0.10383327860658187,-0.6836547076702852,214,107,0.5700934579439252,61,34,10,2
p12% h7.5% tr10% SMA20>SMA50,4.21258894115161,0.09633521499925868,-0.7427242333349611,292,146,0.3972602739726027,57,38,49,2
p10% h5.0% tr15% SMA20>SMA50,3.4731294331762768,0.08288438948171506,-0.7918950597284146,320,160,0.44375,71,89,0,0
p10% h5.0% tr12% SMA20>SMA50,3.3510115237619726,0.08040827403897377,-0.799833707082083,330,165,0.4303030303030303,71,85,9,0
p12% h5.0% tr12% SMA20>SMA50,2.9533907403200796,0.07171576776963962,-0.8036294266858653,310,155,0.3935483870967742,61,81,13,0
p8% h7.5% tr10% SMA20>SMA50,2.7551880203945305,0.0669648283190829,-0.6939028872077386,332,166,0.4939759036144578,80,45,39,2
p12% h5.0% tr15% SMA20>SMA50,2.735090560746095,0.06646536313906504,-0.7881750307066487,300,150,0.41333333333333333,62,87,1,0
p10% h7.5% tr10% SMA20>SMA50,2.664899761875425,0.06469360076728226,-0.7479867245915424,306,153,0.43137254901960786,64,41,46,2
p8% h5.0% tr12% SMA20>SMA50,2.1473620987193427,0.0500915807140796,-0.7564127300940535,364,182,0.46703296703296704,85,93,4,0
p8% h5.0% tr15% SMA20>SMA50,2.081134136884509,0.04798978161160594,-0.7564127300940539,362,181,0.47513812154696133,86,95,0,0
p12% h5.0% tr10% SMA20>SMA50,1.7181420004113634,0.035221600189110136,-0.7869071366030035,322,161,0.35403726708074534,56,75,30,0
p10% h5.0% tr10% SMA20>SMA50,1.0713002146412693,0.004414528416373464,-0.8072933778850794,338,169,0.38461538461538464,63,79,27,0
p8% h5.0% tr10% SMA20>SMA50,0.9615250550910595,-0.0025061274034606784,-0.7714717960076951,366,183,0.4426229508196721,79,86,18,0
