name,final_multiple,cagr,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p15% hard10.0% trail15% rsi70,193.68402544924422,0.39808403760737376,-0.437238311840737,283,141,0.5460992907801419,77,36,22,6,True
p15% hard7.5% trail15% rsi60,176.12950455158128,0.3896572475595166,-0.4825764747866159,271,135,0.5259259259259259,71,51,11,2,True
p15% hard7.5% trail15% rsi70,136.09890027682235,0.36704339025410304,-0.48091978601177987,317,158,0.5,79,63,13,3,True
p15% hard7.5% trail15% rsi65,131.0804636324338,0.3637791041801013,-0.4806875135543469,289,144,0.5069444444444444,73,52,16,3,True
p15% hard10.0% trail15% rsiNone,125.40087529937269,0.35994050707155356,-0.37261393512462704,289,144,0.5416666666666666,78,40,20,6,True
p15% hard10.0% trail12% rsi70,112.94550837401337,0.35091799783330013,-0.5090663018532492,309,154,0.487012987012987,70,23,56,5,True
p15% hard7.5% trail12% rsi65,110.96844975339407,0.3494007972827533,-0.46603557633406234,315,157,0.4585987261146497,69,39,45,4,True
p15% hard7.5% trail12% rsi70,98.62061533732404,0.33930953000602737,-0.507263477270149,333,166,0.4578313253012048,72,47,43,4,True
p12% hard7.5% trail15% rsiNone,96.87997004458089,0.337792769726299,-0.5172392992432471,377,188,0.5319148936170213,100,74,8,6,True
p15% hard7.5% trail15% rsi55,94.33756984373646,0.33553087936437054,-0.4611528648250698,251,125,0.52,65,45,12,3,True
p15% hard10.0% trail12% rsiNone,90.83905171941753,0.3323232081394649,-0.5075109783843165,319,159,0.4716981132075472,71,20,62,6,True
p15% hard7.5% trail12% rsi60,90.01530694414372,0.33155113445278106,-0.4630077194955129,293,146,0.4589041095890411,65,37,41,3,True
LIVE + QQQ ADX >= 20,86.18245911724445,0.3278693804728625,-0.37467356922170825,359,179,0.6145251396648045,110,46,19,4,True
p15% hard7.5% trail12% rsiNone,84.87995810847556,0.3265832496851835,-0.5250265865591207,339,169,0.4437869822485207,72,45,47,5,True
p15% hard7.5% trail15% rsiNone,84.21354844847835,0.3259180523039691,-0.4741640441865347,321,160,0.4875,78,65,13,4,True
LIVE + QQQ ADX >= 18,83.53258796733982,0.32523321942988215,-0.3746735692217078,367,183,0.6065573770491803,111,46,22,4,True
p8% hard10.0% trail15% rsiNone,77.75264681631707,0.3192003341784406,-0.4187619322181916,423,211,0.6682464454976303,141,53,10,7,True
p12% hard7.5% trail12% rsiNone,77.11392010528505,0.31850808097044836,-0.48248974277706635,389,194,0.4896907216494845,94,55,40,5,True
p15% hard10.0% trail12% rsi65,76.67670440252256,0.31803112353676166,-0.5003875763571832,303,151,0.48344370860927155,69,25,52,5,True
p15% hard5.0% trail15% rsi70,73.18639019566265,0.3141295591086184,-0.5651230357929948,375,187,0.42245989304812837,79,99,8,1,True
LIVE current swing,71.24834773604988,0.3118872606094427,-0.3473183443265061,395,197,0.5939086294416244,117,52,24,4,True
p8% hard7.5% trail12% rsi60,71.24834773604988,0.3118872606094427,-0.3473183443265061,395,197,0.5939086294416244,117,52,24,4,True
LIVE + QQQ ADX >= 15,69.4330480466409,0.3097345579477371,-0.3473183443265061,375,187,0.5989304812834224,112,50,21,4,True
p12% hard7.5% trail15% rsi60,69.02501256350754,0.3092434339895622,-0.4825764747866158,309,154,0.5454545454545454,84,58,9,3,True
p12% hard10.0% trail15% rsiNone,67.94814438736296,0.30793410885042816,-0.41437075738106166,325,162,0.5802469135802469,94,46,16,6,True
p10% hard10.0% trail12% rsiNone,65.49906469564105,0.3048824973029953,-0.4507539418867528,403,201,0.5572139303482587,111,32,52,6,True
p15% hard10.0% trail15% rsi65,61.83141740741469,0.30010655490850113,-0.4863121381100993,269,134,0.5298507462686567,71,40,19,4,True
p10% hard7.5% trail15% rsi60,61.44405916667468,0.2995867528662324,-0.46115286482507,339,169,0.5739644970414202,97,62,6,4,True
p6% hard7.5% trail15% rsiNone,57.317381900963234,0.2938501704100567,-0.5716651143994899,549,274,0.656934306569343,180,86,3,5,True
p8% hard7.5% trail15% rsi60,55.93558700035581,0.29184260036208065,-0.33073836644917176,383,191,0.612565445026178,117,67,3,4,True
p15% hard5.0% trail12% rsi70,55.336859662653055,0.29095826929677004,-0.5671751994252997,389,194,0.4020618556701031,75,92,27,0,True
p8% hard7.5% trail12% rsiNone,54.93840492329369,0.29036476555698654,-0.4882174082209747,489,244,0.5778688524590164,141,75,22,6,True
p10% hard7.5% trail12% rsi60,53.419625346031395,0.2880649362622332,-0.459586395157763,359,179,0.5363128491620112,96,49,31,3,True
p10% hard7.5% trail12% rsiNone,51.672094650589344,0.2853417149582711,-0.4882174082209745,425,212,0.5283018867924528,111,66,30,5,True
p6% hard7.5% trail12% rsiNone,49.64631124052083,0.2820748064346694,-0.5716651143994897,561,280,0.6357142857142857,178,79,18,5,True
p8% hard7.5% trail12% rsi65,48.78099692773821,0.2806411396405091,-0.3991268046893114,417,208,0.5817307692307693,121,56,26,5,True
p6% hard10.0% trail15% rsiNone,48.41838549533326,0.28003326687457175,-0.4543453799348319,479,239,0.7071129707112971,169,53,10,7,True
p6% hard7.5% trail15% rsi65,47.34070220255169,0.27820117147001056,-0.4814928396355149,471,235,0.6553191489361702,154,74,3,4,True
p8% hard7.5% trail15% rsiNone,45.91240948080581,0.27571190058118344,-0.4882174082209747,477,238,0.592436974789916,141,85,5,7,True
p12% hard7.5% trail12% rsi70,45.00400960714965,0.274090710152058,-0.4908800584337858,369,184,0.5,89,58,33,4,True
