name,profit,hard_stop,trail,reentry_drop,timeout_days,rsi_max,recent_final,recent_return,recent_maxdd,recent_win_rate,recent_trades,full_multiple,full_cagr,full_maxdd,full_win_rate,full_trades,qqq_adx_min,require_qqq_ema21,max_early_score,vix_max,score
CURRENT,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,71.24834773604988,0.3118872606094427,-0.3473183443265061,0.5939086294416244,395,,,,,0.0
p8% h7.5% tr12% rsi60,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,71.24834773604988,0.3118872606094427,-0.3473183443265061,0.5939086294416244,395,,,,,0.0
p8% h7.5% tr12% rsi70,0.08,0.075,0.12,0.03,3,70.0,842.1524436295856,-0.15784755637041437,-0.3120529851085687,0.36363636363636365,23,38.209071703769276,0.2608895847235604,-0.524399901432832,0.5764192139737991,459,,,,,-0.10193478848939218
p8% h7.5% tr12% rsiNone,0.08,0.075,0.12,0.03,3,,842.1524436295856,-0.15784755637041437,-0.3120529851085687,0.36363636363636365,23,54.93840492329369,0.29036476555698654,-0.4882174082209747,0.5778688524590164,489,,,,,-0.048473324883352154
p8% h7.5% tr15% rsi60,0.08,0.075,0.15,0.03,3,60.0,842.9780976540054,-0.15702190234599456,-0.2878343073840963,0.375,17,55.93558700035581,0.29184260036208065,-0.33073836644917176,0.612565445026178,383,,,,,0.057909583541974265
p8% h7.5% tr15% rsi70,0.08,0.075,0.15,0.03,3,70.0,888.3283496913812,-0.11167165030861881,-0.3260637802002857,0.45454545454545453,23,18.889168126565888,0.20561457809387806,-0.5243999014328321,0.5803571428571429,449,,,,,-0.0899237794131369
p8% h7.5% tr15% rsiNone,0.08,0.075,0.15,0.03,3,,888.3283496913812,-0.11167165030861881,-0.3260637802002857,0.45454545454545453,23,45.91240948080581,0.27571190058118344,-0.4882174082209747,0.592436974789916,477,,,,,0.012284254177558268
p8% h10.0% tr12% rsi60,0.08,0.1,0.12,0.03,3,60.0,847.9209910149859,-0.15207900898501403,-0.2675769855472634,0.375,17,25.96035194051864,0.23025738924445394,-0.4732215342739897,0.6,371,,,,,-0.05709114515279279
p8% h10.0% tr12% rsi70,0.08,0.1,0.12,0.03,3,70.0,892.7264457550259,-0.10727355424497409,-0.29544959250577996,0.4,21,24.11204455320495,0.22448896300795096,-0.47883081026991847,0.5980861244019139,419,,,,,-0.005079592112997425
p8% h10.0% tr12% rsiNone,0.08,0.1,0.12,0.03,3,,892.7264457550259,-0.10727355424497409,-0.29544959250577996,0.4,21,43.7310532299927,0.27176658066076564,-0.4507539418867528,0.6026200873362445,459,,,,,0.06569198326196304
