name,final,return_pct,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
LIVE + QQQ ADX >= 25,1075.5458398993726,0.07554583989937269,-0.10936976652722052,13,6,0.5,3,2,1,0,True
p12% hard5.0% trail8% rsi70,1064.340591098598,0.06434059109859791,-0.19417847091450358,27,13,0.46153846153846156,2,2,9,0,True
p12% hard5.0% trail8% rsiNone,1053.5898171153813,0.053589817115381244,-0.19621128506344054,27,13,0.46153846153846156,2,2,9,0,True
p10% hard5.0% trail8% rsiNone,1031.29148372995,0.031291483729950054,-0.17622240898731334,29,14,0.42857142857142855,3,3,8,0,True
p10% hard5.0% trail8% rsi70,1030.7646881500107,0.030764688150010766,-0.1732867228942716,29,14,0.42857142857142855,3,3,8,0,True
p6% hard5.0% trail10% rsi70,992.9962245574009,-0.007003775442599114,-0.22881228966572886,31,15,0.4666666666666667,6,7,2,0,True
p6% hard5.0% trail10% rsiNone,992.9962245574009,-0.007003775442599114,-0.22881228966572886,31,15,0.4666666666666667,6,7,2,0,True
p6% hard5.0% trail8% rsi70,991.3317137274825,-0.008668286272517589,-0.18506960991886523,33,16,0.4375,5,2,9,0,True
p6% hard5.0% trail8% rsiNone,991.3317137274825,-0.008668286272517589,-0.18506960991886523,33,16,0.4375,5,2,9,0,True
p12% hard5.0% trail8% rsi65,978.6518781106358,-0.02134812188936419,-0.18389074634237979,25,12,0.4166666666666667,1,2,9,0,True
p12% hard5.0% trail8% rsi60,975.2135412667311,-0.0247864587332689,-0.18389074634237979,23,11,0.36363636363636365,1,2,8,0,True
p10% hard5.0% trail8% rsi65,967.917753717946,-0.03208224628205403,-0.16266108939566148,27,13,0.38461538461538464,2,3,8,0,True
p12% hard5.0% trail12% rsi70,964.9859214385154,-0.03501407856148453,-0.26940075642804673,23,11,0.2727272727272727,3,6,2,0,True
p6% hard7.5% trail8% rsi70,964.5728921023142,-0.03542710789768577,-0.2070668653714477,31,15,0.4,5,0,10,0,True
p6% hard7.5% trail8% rsiNone,964.5728921023142,-0.03542710789768577,-0.2070668653714477,31,15,0.4,5,0,10,0,True
p6% hard10.0% trail8% rsi70,964.5728921023142,-0.03542710789768577,-0.2070668653714477,31,15,0.4,5,0,10,0,True
p6% hard10.0% trail8% rsiNone,964.5728921023142,-0.03542710789768577,-0.2070668653714477,31,15,0.4,5,0,10,0,True
p10% hard5.0% trail8% rsi60,964.5171295032329,-0.03548287049676713,-0.16266108939566126,25,12,0.3333333333333333,2,3,7,0,True
p8% hard5.0% trail8% rsi70,957.974367838133,-0.042025632161866944,-0.2318458292473048,29,14,0.35714285714285715,3,2,9,0,True
p8% hard5.0% trail8% rsiNone,957.974367838133,-0.042025632161866944,-0.2318458292473048,29,14,0.35714285714285715,3,2,9,0,True
p12% hard5.0% trail12% rsiNone,955.2387168076528,-0.04476128319234718,-0.2712438102879019,23,11,0.2727272727272727,3,6,2,0,True
p12% hard7.5% trail8% rsi70,951.7320038533704,-0.04826799614662958,-0.2794354128379941,25,12,0.3333333333333333,2,1,9,0,True
p12% hard10.0% trail8% rsi70,951.7320038533704,-0.04826799614662958,-0.2794354128379941,25,12,0.3333333333333333,2,0,10,0,True
p8% hard5.0% trail10% rsi70,949.9782598969209,-0.05002174010307914,-0.24415355334638,27,13,0.38461538461538464,4,7,2,0,True
p8% hard5.0% trail10% rsiNone,949.9782598969209,-0.05002174010307914,-0.24415355334638,27,13,0.38461538461538464,4,7,2,0,True
p12% hard5.0% trail8% rsi55,949.8372991652134,-0.05016270083478658,-0.17379639337607056,17,8,0.375,1,2,5,0,True
